timestamp,value,date,hour,weekday
2024-12-25 00:00:00+00:00,43.9,2024-12-25,0,2
2024-12-25 01:00:00+00:00,44.51,2024-12-25,1,2
2024-12-25 02:00:00+00:00,44.94,2024-12-25,2,2
2024-12-25 03:00:00+00:00,45.27,2024-12-25,3,2
2024-12-25 04:00:00+00:00,45.53,2024-12-25,4,2
2024-12-25 05:00:00+00:00,45.81,2024-12-25,5,2
2024-12-25 06:00:00+00:00,46.04,2024-12-25,6,2
2024-12-25 07:00:00+00:00,46.15,2024-12-25,7,2
2024-12-25 08:00:00+00:00,46.27,2024-12-25,8,2
2024-12-25 09:00:00+00:00,46.34,2024-12-25,9,2
2024-12-25 10:00:00+00:00,46.5,2024-12-25,10,2
2024-12-25 11:00:00+00:00,47.78,2024-12-25,11,2
2024-12-25 12:00:00+00:00,49.39,2024-12-25,12,2
2024-12-25 13:00:00+00:00,50.3,2024-12-25,13,2
2024-12-25 14:00:00+00:00,50.81,2024-12-25,14,2
2024-12-25 15:00:00+00:00,51.37,2024-12-25,15,2
2024-12-25 16:00:00+00:00,51.36,2024-12-25,16,2
2024-12-25 17:00:00+00:00,51.67,2024-12-25,17,2
2024-12-25 18:00:00+00:00,51.74,2024-12-25,18,2
2024-12-25 19:00:00+00:00,51.73,2024-12-25,19,2
2024-12-25 20:00:00+00:00,51.38,2024-12-25,20,2
2024-12-25 21:00:00+00:00,51.46,2024-12-25,21,2
2024-12-25 22:00:00+00:00,51.64,2024-12-25,22,2
2024-12-25 23:00:00+00:00,52.14,2024-12-25,23,2
2024-12-26 00:00:00+00:00,52.52,2024-12-26,0,3
2024-12-26 01:00:00+00:00,53.17,2024-12-26,1,3
2024-12-26 02:00:00+00:00,53.61,2024-12-26,2,3
2024-12-26 03:00:00+00:00,54.08,2024-12-26,3,3
2024-12-26 04:00:00+00:00,54.21,2024-12-26,4,3
2024-12-26 05:00:00+00:00,54.44,2024-12-26,5,3
2024-12-26 06:00:00+00:00,54.59,2024-12-26,6,3
2024-12-26 07:00:00+00:00,54.68,2024-12-26,7,3
2024-12-26 08:00:00+00:00,54.95,2024-12-26,8,3
2024-12-26 09:00:00+00:00,55.89,2024-12-26,9,3
2024-12-26 10:00:00+00:00,56.32,2024-12-26,10,3
2024-12-26 11:00:00+00:00,56.26,2024-12-26,11,3
2024-12-26 12:00:00+00:00,56.43,2024-12-26,12,3
2024-12-26 13:00:00+00:00,56.58,2024-12-26,13,3
2024-12-26 14:00:00+00:00,56.36,2024-12-26,14,3
2024-12-26 15:00:00+00:00,55.93,2024-12-26,15,3
2024-12-26 16:00:00+00:00,55.89,2024-12-26,16,3
2024-12-26 17:00:00+00:00,55.67,2024-12-26,17,3
2024-12-26 18:00:00+00:00,55.48,2024-12-26,18,3
2024-12-26 19:00:00+00:00,55.48,2024-12-26,19,3
2024-12-26 20:00:00+00:00,55.67,2024-12-26,20,3
2024-12-26 21:00:00+00:00,55.89,2024-12-26,21,3
2024-12-26 22:00:00+00:00,56.1,2024-12-26,22,3
2024-12-26 23:00:00+00:00,56.31,2024-12-26,23,3
2024-12-27 00:00:00+00:00,56.52,2024-12-27,0,4
2024-12-27 01:00:00+00:00,56.62,2024-12-27,1,4
2024-12-27 02:00:00+00:00,56.87,2024-12-27,2,4
2024-12-27 03:00:00+00:00,56.96,2024-12-27,3,4
2024-12-27 04:00:00+00:00,57.0,2024-12-27,4,4
2024-12-27 05:00:00+00:00,57.01,2024-12-27,5,4
2024-12-27 06:00:00+00:00,57.15,2024-12-27,6,4
2024-12-27 07:00:00+00:00,57.04,2024-12-27,7,4
2024-12-27 08:00:00+00:00,57.02,2024-12-27,8,4
2024-12-27 09:00:00+00:00,57.28,2024-12-27,9,4
2024-12-27 10:00:00+00:00,57.45,2024-12-27,10,4
2024-12-27 11:00:00+00:00,57.27,2024-12-27,11,4
2024-12-27 12:00:00+00:00,57.05,2024-12-27,12,4
2024-12-27 13:00:00+00:00,57.35,2024-12-27,13,4
2024-12-27 14:00:00+00:00,57.48,2024-12-27,14,4
2024-12-27 15:00:00+00:00,57.49,2024-12-27,15,4
2024-12-27 16:00:00+00:00,57.42,2024-12-27,16,4
2024-12-27 17:00:00+00:00,57.41,2024-12-27,17,4
2024-12-27 18:00:00+00:00,57.57,2024-12-27,18,4
2024-12-27 19:00:00+00:00,57.77,2024-12-27,19,4
2024-12-27 20:00:00+00:00,57.97,2024-12-27,20,4
2024-12-27 21:00:00+00:00,57.97,2024-12-27,21,4
2024-12-27 22:00:00+00:00,58.23,2024-12-27,22,4
2024-12-27 23:00:00+00:00,58.32,2024-12-27,23,4
2024-12-28 00:00:00+00:00,58.39,2024-12-28,0,5
2024-12-28 01:00:00+00:00,58.41,2024-12-28,1,5
2024-12-28 02:00:00+00:00,58.47,2024-12-28,2,5
2024-12-28 03:00:00+00:00,58.43,2024-12-28,3,5
2024-12-28 04:00:00+00:00,58.67,2024-12-28,4,5
2024-12-28 05:00:00+00:00,58.86,2024-12-28,5,5
2024-12-28 06:00:00+00:00,58.61,2024-12-28,6,5
2024-12-28 07:00:00+00:00,58.48,2024-12-28,7,5
2024-12-28 08:00:00+00:00,58.06,2024-12-28,8,5
2024-12-28 09:00:00+00:00,57.59,2024-12-28,9,5
2024-12-28 10:00:00+00:00,57.04,2024-12-28,10,5
2024-12-28 11:00:00+00:00,56.18,2024-12-28,11,5
2024-12-28 12:00:00+00:00,55.68,2024-12-28,12,5
2024-12-28 13:00:00+00:00,55.25,2024-12-28,13,5
2024-12-28 14:00:00+00:00,54.96,2024-12-28,14,5
2024-12-28 15:00:00+00:00,54.93,2024-12-28,15,5
2024-12-28 16:00:00+00:00,55.07,2024-12-28,16,5
2024-12-28 17:00:00+00:00,55.23,2024-12-28,17,5
2024-12-28 18:00:00+00:00,55.27,2024-12-28,18,5
2024-12-28 19:00:00+00:00,55.46,2024-12-28,19,5
